epoch,accuracy,loss,mean_io_u_7,precision_7,recall_7,val_accuracy,val_loss,val_mean_io_u_7,val_precision_7,val_recall_7
0,0.7525025606155396,0.518776535987854,0.25,0.5552411079406738,0.15760661661624908,0.7332384586334229,0.4842565357685089,0.25,0.48469406366348267,0.6841011047363281
1,0.7822402119636536,0.44528937339782715,0.25,0.5984439253807068,0.4490757882595062,0.7933176159858704,0.4279647767543793,0.25,0.7189469337463379,0.31480687856674194
2,0.8091129660606384,0.4088671803474426,0.25,0.6561816334724426,0.5313048362731934,0.8064666390419006,0.40381282567977905,0.25,0.6004378199577332,0.7268381714820862
3,0.8230301737785339,0.38367611169815063,0.25,0.6738563776016235,0.5957037806510925,0.8374449014663696,0.3661631941795349,0.25,0.6895333528518677,0.6626850366592407
4,0.8396194577217102,0.3557928204536438,0.25,0.70062655210495,0.650093138217926,0.8448352217674255,0.351114422082901,0.25,0.7079977989196777,0.6692159175872803
5,0.8501741290092468,0.33512863516807556,0.25,0.7183002233505249,0.68049556016922,0.848295271396637,0.34117835760116577,0.25,0.7157325148582458,0.6747157573699951
6,0.8586465716362,0.31851914525032043,0.25,0.7345471978187561,0.6996091604232788,0.8570367693901062,0.32299697399139404,0.25,0.6997809410095215,0.7722203731536865
7,0.8665021657943726,0.30345720052719116,0.25,0.7481966018676758,0.7197598218917847,0.8558505177497864,0.32003945112228394,0.25,0.6857595443725586,0.8053063154220581
8,0.8712732791900635,0.2949356436729431,0.2500004470348358,0.7561691999435425,0.732345700263977,0.8706981539726257,0.30077800154685974,0.25,0.7703832387924194,0.7042562961578369
9,0.8764659762382507,0.28480440378189087,0.25000131130218506,0.7667019963264465,0.7424376606941223,0.8656170964241028,0.3044527769088745,0.25,0.7119728922843933,0.7968370318412781
