epoch,accuracy,loss,mean_io_u_8,precision_8,recall_8,val_accuracy,val_loss,val_mean_io_u_8,val_precision_8,val_recall_8
0,0.7714552283287048,1.0653307437896729,0.25,0.633345901966095,0.25063347816467285,0.7976487874984741,0.4427952170372009,0.25,0.6508996486663818,0.450065016746521
1,0.7940517663955688,0.43929484486579895,0.25,0.6415345072746277,0.4396120011806488,0.7935254573822021,0.4363996088504791,0.25,0.6155509352684021,0.5128815174102783
2,0.7982804775238037,0.43456780910491943,0.25,0.6534368395805359,0.44827672839164734,0.7936341166496277,0.4316849410533905,0.25,0.7239646911621094,0.31190425157546997
3,0.8035292625427246,0.4260708689689636,0.25,0.6644201874732971,0.4668673276901245,0.7962166666984558,0.4346808195114136,0.25,0.599236249923706,0.6131450533866882
4,0.8081166744232178,0.42344918847084045,0.25,0.674214243888855,0.481857568025589,0.8144648671150208,0.41150957345962524,0.25,0.726349413394928,0.4403374493122101
5,0.8161908388137817,0.40839746594429016,0.25,0.686170220375061,0.517146646976471,0.8230034708976746,0.3906170427799225,0.25,0.749695897102356,0.46212390065193176
6,0.8441662192344666,0.3519066870212555,0.25,0.7242106795310974,0.6300301551818848,0.8575731515884399,0.33442673087120056,0.25,0.7549411654472351,0.6559464931488037
7,0.8634090423583984,0.3155818581581116,0.25001877546310425,0.7589175701141357,0.6821010112762451,0.8676056861877441,0.3189794421195984,0.25,0.766504168510437,0.6935156583786011
8,0.8762677907943726,0.2911287248134613,0.25044310092926025,0.7735799551010132,0.729164719581604,0.882710337638855,0.2807142436504364,0.25,0.7887192368507385,0.7393927574157715
9,0.8864387273788452,0.2678898274898529,0.25,0.7923772931098938,0.7528064846992493,0.8837157487869263,0.27590927481651306,0.25,0.7917692065238953,0.7398252487182617
